city	state	permalink	created_at	lat	long	adoption_case
Bristol	RI	puevfgvna-f-jbbq-sverq-tevyyr	10/27/14 21:14	41.672252	-71.278411	1
Chicago	IL	oneyrl-naq-oenff	10/27/14 21:26	41.902891	-87.677931	1
Waikoloa	HI	fbyvzrar	10/28/14 1:11	19.916421	-155.882197	1
Grand Prairie	TX	pvgl-bs-tenaq-cenvevr	10/28/14 15:26	32.74827	-97.008224	1
New York	NY	iba	10/28/14 16:44	40.725475	-73.99259	1
Burbank	CA	fvzcyr-guvatf-erfgnhenag-8310-j	10/28/14 16:51	34.151894	-118.343268	1
Milwaukee	WI	gur-oebja-obggyr	10/28/14 19:38	43.051169	-87.913983	1
Imlay	MI	gur-zhyrsbbg-tnfgebcho	10/28/14 19:58	43.017619	-83.072519	1
Houston	TX	onunzn-ohpxf-envqre-vpr-3	10/28/14 21:48	29.950245	-95.584935	1
Milwaukee	WI	fcvgsverf-ba-fgngr	10/29/14 22:27	43.044493	-87.976265	1
Astoria	NY	gur-yrgybir-vaa	10/30/14 17:24	40.775639	-73.914695	1
Bluffton	SC	crccref-byq-gbja	10/30/14 20:40	32.237266	-80.865997	1
Dallas	TX	gur-nypbir	10/30/14 21:33	32.797921	-96.798046	1
Alhambra	CA	fhfuv-nxngben-nyunzoen	10/31/14 20:01	34.094631	-118.128334	1
Brooktondale	NY	tbyn-bfgrevn	10/31/14 20:15	42.388332	-76.412396	1
