policy_id,adopted_year,state,state_name,long,lat,adoption_case,state_num
adcom,1936,NV,Nevada,-119.7519,39.1501,1,32
adcom,1936,UT,Utah,-111.8882,40.7716,1,43
adcom,1936,WI,Wisconsin,-89.4007,43.0632,1,47
adcom,1937,AR,Arkansas,-92.2789,34.7244,1,44
adcom,1937,AZ,Arizona,-112.0738,33.4483,1,17
adcom,1937,ID,Idaho,-116.2125,43.6021,1,36
adcom,1937,MA,Maine,-71.0568,42.3589,1,10
adcom,1937,NC,North Carolina,-78.6434,35.7797,1,9
adcom,1937,NJ,New Jersey,-74.7642,40.2202,1,7
adcom,1937,OK,Oklahoma,-97.4591,35.4931,1,35
adcom,1937,TN,Tennessee,-86.7821,36.1589,1,41
adcom,1937,WA,Washington,-122.9016,47.0449,1,4
adcom,1939,AL,Alabama,-86.2996,32.3754,1,25
adcom,1939,CT,Connecticut,-72.6732,41.7665,1,1
adcom,1939,IL,Illinois,-89.6533,39.8018,1,6
adcom,1939,IN,Indiana,-86.1563,39.767,1,46
adcom,1939,KS,Kansas,-95.6815,39.0474,1,15
adcom,1939,MD,Maryland,-76.5197,38.9693,1,19
adcom,1939,NE,Nebraska,-97.548,41.1786,1,28
adcom,1939,OH,Ohio,-83.0007,39.9622,1,34
adcom,1939,PA,Pennsylvania,-76.8849,40.274,1,37
adcom,1939,RI,Rhode Island,-71.4087,41.827,1,38
adcom,1939,SD,South Dakota,-100.3177,44.3776,1,40
adcom,1939,WV,West Virginia,-81.6354,38.3533,1,48
admittpriv,2011,AZ,Arizona,-112.0738,33.4483,1,17
admittpriv,2011,MS,Mississippi,-90.178,32.3122,1,24
admittpriv,2013,AL,Alabama,-86.2996,32.3754,1,25
admittpriv,2013,IN,Indiana,-86.1563,39.767,1,46
admittpriv,2013,MO,Missouri,-92.1941,38.5698,1,23
admittpriv,2013,ND,North Dakota,-100.7694,46.8084,1,27
admittpriv,2013,OH,Ohio,-83.0007,39.9622,1,34
admittpriv,2013,OK,Oklahoma,-97.4591,35.4931,1,35
admittpriv,2013,PA,Pennsylvania,-76.8849,40.274,1,37
admittpriv,2013,TN,Tennessee,-86.7821,36.1589,1,41
admittpriv,2013,TX,Texas,-97.7452,30.2687,1,42
admittpriv,2013,UT,Utah,-111.8882,40.7716,1,43
admittpriv,2013,WI,Wisconsin,-89.4007,43.0632,1,47
adoptionact19531969,1971,ND,North Dakota,-100.7694,46.8084,1,27
adoptionact19531969,1971,NM,New Mexico,-105.9381,35.6816,1,31
adoptionact19531969,1973,OK,Oklahoma,-97.4591,35.4931,1,35
adoptionact19531969,1976,IA,Iowa,-93.6203,41.5888,1,33
adoptionact19531969,1977,AR,Arkansas,-92.2789,34.7244,1,44
adoptionact1994,1996,VT,Vermont,-72.5716,44.2627,1,45
adultguardianshipandprotectiveproceedingsjurisdictionact,2008,AK,Alaska,-134.5721,58.3637,1,22
adultguardianshipandprotectiveproceedingsjurisdictionact,2008,CO,Colorado,-104.9881,39.7551,1,5
adultguardianshipandprotectiveproceedingsjurisdictionact,2008,DE,Delaware,-75.5136,39.1615,1,18
adultguardianshipandprotectiveproceedingsjurisdictionact,2008,UT,Utah,-111.8882,40.7716,1,43
adultguardianshipandprotectiveproceedingsjurisdictionact,2009,IL,Illinois,-89.6533,39.8018,1,6
adultguardianshipandprotectiveproceedingsjurisdictionact,2009,MN,Minnesota,-93.1027,44.9446,1,8
adultguardianshipandprotectiveproceedingsjurisdictionact,2009,MT,Montana,-112.0205,46.5911,1,14
adultguardianshipandprotectiveproceedingsjurisdictionact,2009,ND,North Dakota,-100.7694,46.8084,1,27
adultguardianshipandprotectiveproceedingsjurisdictionact,2009,NV,Nevada,-119.7519,39.1501,1,32
adultguardianshipandprotectiveproceedingsjurisdictionact,2009,OR,Oregon,-123.0272,44.937,1,3
adultguardianshipandprotectiveproceedingsjurisdictionact,2009,WA,Washington,-122.9016,47.0449,1,4
adultguardianshipandprotectiveproceedingsjurisdictionact,2010,AL,Alabama,-86.2996,32.3754,1,25
adultguardianshipandprotectiveproceedingsjurisdictionact,2010,AZ,Arizona,-112.0738,33.4483,1,17
adultguardianshipandprotectiveproceedingsjurisdictionact,2010,IA,Iowa,-93.6203,41.5888,1,33
adultguardianshipandprotectiveproceedingsjurisdictionact,2010,MD,Maryland,-76.5197,38.9693,1,19
adultguardianshipandprotectiveproceedingsjurisdictionact,2010,OK,Oklahoma,-97.4591,35.4931,1,35
adultguardianshipandprotectiveproceedingsjurisdictionact,2010,SC,South Carolina,-81.0353,34.0007,1,39
adultguardianshipandprotectiveproceedingsjurisdictionact,2010,TN,Tennessee,-86.7821,36.1589,1,41
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,AR,Arkansas,-92.2789,34.7244,1,44
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,ID,Idaho,-116.2125,43.6021,1,36
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,IN,Indiana,-86.1563,39.767,1,46
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,KY,Kentucky,-84.8715,38.1894,1,16
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,MO,Missouri,-92.1941,38.5698,1,23
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,NE,Nebraska,-97.548,41.1786,1,28
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,NM,New Mexico,-105.9381,35.6816,1,31
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,SD,South Dakota,-100.3177,44.3776,1,40
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,VA,Virginia,-77.4339,37.5408,1,13
adultguardianshipandprotectiveproceedingsjurisdictionact,2011,VT,Vermont,-72.5716,44.2627,1,45
adultguardianshipandprotectiveproceedingsjurisdictionact,2012,CT,Connecticut,-72.6732,41.7665,1,1
adultguardianshipandprotectiveproceedingsjurisdictionact,2012,HI,Hawaii,-157.8219,21.292,1,30
adultguardianshipandprotectiveproceedingsjurisdictionact,2012,ME,Massachusetts,-69.7323,44.3294,1,20
adultguardianshipandprotectiveproceedingsjurisdictionact,2012,NJ,New Jersey,-74.7642,40.2202,1,7
adultguardianshipandprotectiveproceedingsjurisdictionact,2012,PA,Pennsylvania,-76.8849,40.274,1,37
adultguardianshipandprotectiveproceedingsjurisdictionact,2013,OH,Ohio,-83.0007,39.9622,1,34
adultguardianshipandprotectiveproceedingsjurisdictionact,2013,WY,Wyoming,-104.8165,41.1389,1,49
adultguardianshipandprotectiveproceedingsjurisdictionact,2014,CA,California,-121.4871,38.5737,1,0
adultguardianshipandprotectiveproceedingsjurisdictionact,2014,MA,Maine,-71.0568,42.3589,1,10
adultguardianshipandprotectiveproceedingsjurisdictionact,2014,MS,Mississippi,-90.178,32.3122,1,24
adultguardianshipandprotectiveproceedingsjurisdictionact,2014,NY,New York ,-73.7551,42.6517,1,2
adultguardianshipandprotectiveproceedingsjurisdictionact,2015,NH,New Hampshire ,-71.5597,43.2314,1,29
adultguardianshipandprotectiveproceedingsjurisdictionact,2015,RI,Rhode Island,-71.4087,41.827,1,38
adultguardianshipandprotectiveproceedingsjurisdictionact,2016,GA,Georgia,-84.3897,33.7545,1,26
adultguardianshipandprotectiveproceedingsjurisdictionact,2016,LA,Louisiana,-91.1882,30.4493,1,11
