"policy_id","adopted_year","state_id"
"colcanscr",2005,"AR"
"collegesavings",1999,"AR"
"compactforeducation",1965,"AR"
"compactonadoptionandmedicalassistance",1985,"AR"
"compactonmentalhealth",1959,"AR"
"compactonplacementofchildren",1979,"AR"
"compcrime",1987,"AR"
"compsch",1909,"AR"
"comsrv12",1983,"AR"
"conacchwy",1953,"AR"
"concealedcarry",1995,"AR"
"conflictsoflaws_limitationsact",1985,"AR"
"conservationeasementact",1983,"AR"
"consgsoil",1939,"AR"
"continsurance",2005,"AR"
"contr_eq",2005,"AR"
"contrains",2005,"AR"
"controlledsubstancesact",1971,"AR"
"corporlimits",1992,"AR"
"cpban",1983,"AR"
"creditcardtheft",1979,"AR"
"crimeviccomp",1987,"AR"
"crtadm",1965,"AR"
"custodialtrustact",1991,"AR"
"deaf",1868,"AR"
"deathpen",1973,"AR"
"debtlim",1934,"AR"
"declaratoryjudgmentsact",1953,"AR"
"denlic",1887,"AR"
"deployedparentscustodyandvisitationact",2015,"AR"
"determinationofdeathact",1985,"AR"
"dev_s1",1999,"AR"
"dev_s10",2007,"AR"
"dev_s2",1999,"AR"
"dev_s3",2007,"AR"
"dev_s4",2004,"AR"
"dirdem",1910,"AR"
"dirprim",1909,"AR"
"disclaimerofpropertyinterestsact",2003,"AR"
"disclaimerofpropertyinterestsact1973",1981,"AR"
"dispositionofcommunitypropertyrightsatdeathact1971",1981,"AR"
"divisionofincomefortaxpurposes",1961,"AR"
"dnafelon",2003,"AR"
"dnaforexon",2005,"AR"
"driverlicensecompact",1969,"AR"
"drugs_boehmke_statrapag",1975,"AR"
"drugs_boehmke_zeroto",1993,"AR"
"dual_enroll",1983,"AR"
"dui",2001,"AR"
"dui08",2001,"AR"
"durablepowerofattorney",1981,"AR"
"dwireform",2001,"AR"
"earlvot",1996,"AR"
"education_teacher_cert_elementa",1960,"AR"
"education_teacher_cert_h",1960,"AR"
"edutv",1961,"AR"
"elecdereg",1999,"AR"
"electronictransactionsact",2001,"AR"
"emcont_avail",2007,"AR"
"emergencymanagementassistancecompact",1997,"AR"
"emergencyvolunteerhealthpractitioners",2009,"AR"
"eminentscholar",2002,"AR"
"enforcementofforeignjudgmentsact",1989,"AR"
"englic",1925,"AR"
"engonly",1987,"AR"
"enterzone",1984,"AR"
"environment_air_pollution_contr",1965,"AR"
"environment_electronic_wast",2007,"AR"
"equalpay",1955,"AR"
"estatetaxapportionmentandprobatecode3_916",2007,"AR"
"expsta",1888,"AR"
"facsimilesignaturesofpublicofficials",1959,"AR"
"fairtrade",1937,"AR"
"famcap",1993,"AR"
"famlim",1992,"AR"
"federallienregistrationact",1989,"AR"
"fetaldispos",1987,"AR"
"fetalheart",2013,"AR"
"fetalhomic",1999,"AR"
"fetalpain",2013,"AR"
"fiduciaryaccesstodigitalassetsactrevised2015",2017,"AR"
"filmtaxcredit",2009,"AR"
"fish",1875,"AR"
"foia",1967,"AR"
"forest",1931,"AR"
"fraudulenttransferact1984",1987,"AR"
"frontpass_seatbelt",1992,"AR"
"fundslife",1988,"AR"
"fundslifehea",1994,"AR"
"furlough",1997,"AR"
"furprog",1997,"AR"
"gagrule",2010,"AR"
"gambling_lottery_adoptio",2010,"AR"
"gastax",1921,"AR"
"gaymarban",1997,"AR"
"gayrights_ban_sodom",1962,"AR"
"gdl",2001,"AR"
"genderrights_gender_equal_pa",1955,"AR"
"genderrights_nofault_divorc",1991,"AR"
"governance_reform",1997,"AR"
"grandvist",1983,"AR"
"guncontrol_opencarr",1995,"AR"
"hazing",1997,"AR"
"health",1991,"AR"
"helmetlaw_17",1997,"AR"
"higrenew",1991,"AR"
"hmomod1",1975,"AR"
"hostliability",2009,"AR"
"humantraffic",2005,"AR"
"hwyagen",1913,"AR"
"idas",1999,"AR"
"ide",1997,"AR"
"idtheft",1999,"AR"
"imcontsub",1981,"AR"
"imitcontsub",1981,"AR"
"immigration_english_languag",1987,"AR"
"inctax",1929,"AR"
"indlimit",1992,"AR"
"indorgris",1997,"AR"
"infanthear",1999,"AR"
"infconsent",2001,"AR"
"infertility",1987,"AR"
"initiative",1910,"AR"
"ins_stateexch",2013,"AR"
"insprivate",2013,"AR"
"inspublic",1998,"AR"
"intbar",1938,"AR"
"interstatecompactforadultoffendersupervision",2002,"AR"
"interstatecompactforjuveniles",1957,"AR"
"interstatecompactoneducationalopportunityformilitarychildren",2013,"AR"
"interstatecompacttoconserveoilandgas",1941,"AR"
"interstatecorrectionscompact",1973,"AR"
"interstatefamilysupportact19921996",1993,"AR"
"interstatefamilysupportactamendments2008",2015,"AR"
"interstateinsuranceproductregulationcompact",2013,"AR"
"interstatelibrarycompact",1967,"AR"
"interstateminingcompact",1975,"AR"
"juvct",1911,"AR"
"juvisup",1957,"AR"
"keg_reg",2006,"AR"
"labor_age_discriminatio",1979,"AR"
"labor_minwage_abovefe",2006,"AR"
"labor_prevailing_wage_la",1955,"AR"
"labor_right_to_wor",1944,"AR"
"labor_state_retirement_syste",1954,"AR"
"laborag",1913,"AR"
"legresea",1947,"AR"
"libext",1921,"AR"
"licenseplate",2003,"AR"
"licenses_accountant",1915,"AR"
"limitedpartnership1976",1979,"AR"
"limitedpartnershipact2001lastamended2013",2007,"AR"
"livingwill",1977,"AR"
